"","Year","Carpark","Chill.Out","Age","Tenure_Bin","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","URA.growth.area.km","hawker.centre.and.market.km","MRT.station.km","park.km","top.primary.school.km","shopping.mall.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"1999",2015,1,0,17,1,0.071596948,0.040233329,0.233717541,0.090320596,0.162008685,1.05803104,1.665628573,0.899305294,0.862190228,6.51137991,0.928554985,0.074628034,1.115168436,747500,89.5
"2000",2013,1,0,0,2,0.134393064,0.88583815,0.553563218,0.383908046,0.650268128,3.96648121,0.861463718,0.362890844,1.172887345,3.417454112,0.181352446,0.236351113,3.206049719,2760000,132
"2001",2014,1,0,0,2,0.134393064,0.88583815,0.553563218,0.383908046,0.650268128,3.997255719,0.8785455525,0.3289826225,1.199865977,3.3770297645,0.1520060735,0.214424951,3.215930185,1778000,115.5
"2002",2015,1,0,0,2,0.134393064,0.88583815,0.553563218,0.383908046,0.650268128,3.96648121,0.861463718,0.362890844,1.172887345,3.417454112,0.181352446,0.236351113,3.206049719,2310000,132
"2003",2013,0,0,5,2,0.124047878,0.904243743,0.623726346,0.333333333,0.603169252,3.805602073,0.852584504,0.406432122,0.956543839,2.820307363,0.483879469,0.206197865,2.436250458,3361875,130
"2004",2014,0,0,6,2,0.124047878,0.904243743,0.623726346,0.333333333,0.603169252,3.805602073,0.852584504,0.406432122,0.956543839,2.820307363,0.483879469,0.206197865,2.436250458,2903500,127.666666666667
"2005",2015,0,0,7,2,0.124047878,0.904243743,0.623726346,0.333333333,0.603169252,3.805602073,0.852584504,0.406432122,0.956543839,2.820307363,0.483879469,0.206197865,2.436250458,2530000,122
"2006",2013,0,0,5,2,0.181030087,0.113615502,0.267219555,0.166157428,0.270374102,7.5457038405,0.850778820333333,0.436622177666667,0.428667338333333,4.02480974033333,1.930859712,0.104412759333333,3.554778484,1250300,87.5
"2007",2014,0,0,6,2,0.181030087,0.113615502,0.267219555,0.166157428,0.270374102,7.550127607,0.8407416905,0.4522424175,0.4117373535,4.0115082435,1.9140591435,0.110947721,3.5299579895,1500000,113
"2008",2015,0,0,7,2,0.181030087,0.113615502,0.267219555,0.166157428,0.270374102,7.5450421844,0.8472975846,0.445115718,0.4198398048,4.0115990634,1.9218354582,0.1095770068,3.538522102,1285600,102.4
"2009",2013,0,1,6,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,1.496326804,0.283818207,0.378390992,0.72978463,2.209970885,1.376219824,0.132878451,0.511297871,1340000,118
"2010",2014,0,1,7,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,1.4982815995,0.296108151,0.385775101,0.7201281075,2.2059389915,1.3734256835,0.116065306,0.5161077545,1600000,151.5
"2011",2015,0,1,8,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,1.496326804,0.283818207,0.378390992,0.72978463,2.209970885,1.376219824,0.132878451,0.511297871,1018000,80
"2012",2013,0,1,6,2,0.171425748,0.165398676,0.2420928,0.262192028,0.213827211,4.19399674,0.508685559,0.174000083,0.463674017,2.605050898,0.350492063,0.010725723,2.12173017,999000,83
"2013",2013,0,1,5,2,0.161846557,0.153115792,0.313555469,0.123116394,0.278682171,5.184401672,1.15170140266667,1.83892444766667,0.538088455333333,3.107180004,1.07539564466667,0.106000370666667,2.36265308166667,1803333.33333333,131.666666666667
"2014",2014,0,1,6,2,0.161846557,0.153115792,0.313555469,0.123116394,0.278682171,5.1718464025,1.1454034945,1.866563211,0.537507151,3.1259498005,1.074262969,0.0745889645,2.360901371,1510000,105
"2015",2015,0,1,7,2,0.161846557,0.153115792,0.313555469,0.123116394,0.278682171,5.192860516,1.17572117233333,1.88744303833333,0.553006612,3.170499986,1.11021900366667,0.0618536733333333,2.39587825333333,1498333.33333333,113.666666666667
"2016",2013,0,1,5,1,0.087966626,0.112277926,0.30763092,0.050386637,0.193342997,3.94216132125,1.027091217375,0.846241729,0.27703486875,3.681984913125,1.15986671,0.313718188125,2.72455292525,1332250,111.625
"2017",2014,0,1,6,1,0.087966626,0.112277926,0.30763092,0.050386637,0.193342997,3.94164466522222,1.01118581211111,0.830205411,0.282628634666667,3.66572993011111,1.14891945511111,0.301962159333333,2.732140479,1384111.11111111,128.444444444444
"2018",2015,0,1,7,1,0.087966626,0.112277926,0.30763092,0.050386637,0.193342997,3.9394856972,1.0495206248,0.868996342,0.2735147749,3.7051217016,1.1648354267,0.319854559,2.7104488062,1237300,115.3
"2019",2013,1,1,15,1,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,6.99152463,0.142727851,0.179615906,0.267848649,1.227847702,1.587395236,0.054041399,1.606543818,850000,97.5
"2020",2014,1,1,16,1,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,6.99152463,0.142727851,0.179615906,0.267848649,1.227847702,1.587395236,0.054041399,1.606543818,1050000,127
"2021",2014,1,1,19,2,0.151590287,0.153385773,0.229365769,0.198113442,0.186605185,0.937107792,0.655181585,0.398173331,0.419605581,0.429321295,0.94476485,0.101978881,1.899331737,975000,119.5
"2022",2014,1,1,9,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,2.069218121,0.807016051,0.5381598,0.383742733,2.378831066,0.692306016,0.158329192,1.390017768,1568000,137
"2023",2015,1,1,10,2,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,2.069218121,0.807016051,0.5381598,0.383742733,2.378831066,0.692306016,0.158329192,1.390017768,1520000,137
"2024",2013,1,1,7,2,0.124047878,0.904243743,0.623726346,0.333333333,0.603169252,2.869396824,0.977451809,0.392661748,0.539960161,2.96376221,0.391203308,0.119635178,2.976715798,3345300,148
"2025",2015,1,1,9,2,0.124047878,0.904243743,0.623726346,0.333333333,0.603169252,2.853413336,0.983798346,0.396290956,0.503171162,2.991716557,0.389349712,0.136731962,3.012229099,3900000,193.333333333333
"2026",2013,0,0,0,1,0.071608283,0.054867428,0.338690439,0.043903154,0.243813956,3.59816533887316,2.88248303874041,2.25919893090855,0.487749505625369,1.89957523776696,0.303077866637168,0.0671803785781711,2.48099772280531,933220.044247788,109.784660766962
"2027",2014,0,0,0,1,0.071608283,0.054867428,0.338690439,0.043903154,0.243813956,3.59246496251613,2.88713066954839,2.25255587316129,0.48776994716129,1.89846364345161,0.297296771064516,0.0714634116451613,2.47422635880645,926398.870967742,107.548387096774
"2028",2013,1,0,15,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,3.874510408,1.934116484,0.52404745,0.473970768,2.032968264,0.580029399,0.053650978,0.616339667,1688888,188
"2029",2014,1,0,16,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,3.874510408,1.934116484,0.52404745,0.473970768,2.032968264,0.580029399,0.053650978,0.616339667,750000,67
"2030",2015,1,0,17,2,0.141708793,0.112704069,0.402184183,0.066275774,0.274180811,3.874510408,1.934116484,0.52404745,0.473970768,2.032968264,0.580029399,0.053650978,0.616339667,1035500,126.5
