"","Project.Name","Year","Property.Type","Planning.Region","Postal.District","Security","Carpark","Entertainment","Chill.Out","Food.Dining","Family.Friendly","Fitness","Function.Room","Month","Time.Quarter","Floor.No","Age","Tenure_Bin","Latitude","Longitude","No.of.Residents.Million","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Condominiums.and.Private.Flats.Households.of.Total.Households","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","CBD.km","childcare.centre.km","community.club.km","elderly.care.centre.km","exercise.facility.km","URA.growth.area.km","hawker.centre.and.market.km","hospital.polyclinic.km","kindergarten.km","library.km","MRT.station.km","park.km","private.school.km","primary.school.km","top.primary.school.km","secondary.school.km","junior.college.km","higher.education.school.km","shopping.mall.km","supermarket.hypermarket.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"1845","ZEDGE",2013,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,4.5,1.66666666666667,8,3,2,1.322545,103.8481216,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.299899966,0.179510434,1.010971324,0.645985444,0.485784235,5.020207055,0.668101118,0.273071419,0.776490278,1.269444671,0.550479644,0.591338833,0.179533943,0.543719474,1.80593329,0.477055074,1.417869767,2.885631227,0.478433365,0.436043991,0.378950597,1.031668174,1424729.16666667,83.6666666666667
"1846","APLETON VIEW",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,12,8,23,11,2,1.319192,103.8458418,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.961424843,0.284568485,0.917600509,0.676827195,0.237713914,4.880822856,0.592510826,0.234636853,0.335473689,1.699893505,0.241927942,0.403410404,0.601322862,0.151235439,2.250832537,0.648948564,1.294862632,2.576796663,0.23768778,0.23768778,0.085448792,1.414868051,1593800,104
"1847","D'CHATEAU @ SHELFORD",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,10,8,23,4,2,1.3281374,103.8122085,0.07447,0.139653552,0.45548543,0.486300707,0.652580114,0.171846258,0.55939871,6.567298144,0.230424678,1.715485041,1.929060643,0.657641938,7.460761487,0.490445635,2.49301476,0.563019861,3.348356877,0.630353162,0.190536317,2.758723451,0.917290769,0.917290769,0.947756716,0.80195031,3.897742601,2.884495082,0.530540341,0.318717311,3.956049848,1380000,85
"1848","D'EVELYN",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,4,6,1,6,2,1.316775,103.839662,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.872855686,0.09876083,0.714873819,1.182596359,0.377721909,4.811934661,0.509869955,0.792335489,0.149248882,1.817285748,0.390557216,0.414282459,0.412960818,0.541082231,2.840285917,0.514261721,0.985484802,2.613352166,0.441428142,0.435370191,0.213599458,1.887421516,1970000,128
"1849","GLOUCESTER MANSIONS",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,8,7,6,15,2,1.313604,103.839798,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.538288551,0.356083317,0.371481788,1.156299557,0.45070822,4.478043965,0.163054811,0.850540643,0.128224648,1.465454021,0.202641614,0.401921687,0.327133435,0.492635439,3.122176137,0.76498815,1.312749209,2.31445474,0.598290949,0.598290949,0.117093792,2.198810429,1394000,83
"1850","HILLCREST PARK",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,12,8,1,0,2,1.3313634,103.8068012,0.07447,0.139653552,0.45548543,0.486300707,0.652580114,0.171846258,0.55939871,7.237893725,0.404126516,2.403185085,1.351974125,0.833547308,7.18228946,1.139845343,3.069016719,0.582079912,3.625296653,0.558232034,0.246068388,2.231764263,1.165769769,1.165769769,0.51582032,0.301439052,3.263987722,3.240924028,0.009356566,0.466198281,4.536879779,1518000,107
"1851","IRIDIUM",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6,6,5.5,5,2,1.3149169,103.842741,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.571722427,0.27222292,0.659820126,0.820516382,0.280022538,4.506589148,0.478571826,0.659894683,0.172997839,1.645062264,0.547277415,0.184612927,0.536326857,0.462833676,2.830755489,0.914144298,1.3432586,2.26320794,0.295281549,0.295281549,0.222310964,1.951421114,1657500,104.5
"1852","L'VIV",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,8,7,16.5,1,2,1.315028,103.840799,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.64801041,0.195505163,0.55721952,1.03679713,0.388164864,4.586527605,0.351037327,0.831304568,0.102997894,1.62759997,0.347366119,0.361904059,0.438921193,0.62170682,2.92910994,0.728868171,1.216093362,2.381908784,0.408792181,0.408792181,0.048661883,2.010152935,3030000,139.5
"1853","LA MAISON",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,9,7,34,15,2,1.319628,103.846872,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.992943053,0.284485615,0.88438669,0.641232859,0.324530767,4.906644151,0.535951577,0.215881906,0.456802297,1.618443824,0.340211273,0.511505477,0.488303428,0.237085023,2.158122317,0.639484912,1.37701174,2.59475653,0.32313395,0.32313395,0.105977209,1.355633867,1720000,120
"1854","LA NOUVELLE",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,5,6,34,11,2,1.318156,103.8469744,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.829523525,0.432634522,0.747979914,0.506558713,0.40124879,4.743922784,0.424121054,0.369749315,0.351344381,1.7728455,0.406962309,0.412529214,0.617453816,0.144828571,2.303715908,0.795241858,1.460630666,2.433304081,0.386805533,0.386805533,0.086848007,1.518175194,1400000,95
"1855","M21",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,4,6,66,4,2,1.3225841,103.8490507,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.296546328,0.083787025,0.909683395,0.543161666,0.582774243,4.917768575,0.565288794,0.374821125,0.823132686,1.243381086,0.643873642,0.694829251,0.083794763,0.62247027,1.761724574,0.564543257,1.519301373,2.875481137,0.575774157,0.357594628,0.31033523,1.038713032,1531000,99
"1856","MANDALAY TOWERS",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,9,7,8,0,2,1.3233667,103.8492009,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.38221958,0.06380778,0.874839673,0.540803562,0.633910582,4.910794305,0.540798954,0.391559917,0.777646843,1.15497459,0.700378781,0.720439986,0.06385879,0.592107321,1.674854544,0.546719545,1.525326922,2.959745811,0.626310078,0.285305521,0.230296939,0.956135072,2200000,238
"1857","MANDALE HEIGHTS",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,7,6.66666666666667,41.3333333333333,10,2,1.3241164,103.8497477,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.4622581,0.121472458,0.804083162,0.51096239,0.719836895,4.861185178,0.48593231,0.467559979,0.675186343,1.063631201,0.796784462,0.743977373,0.121506499,0.61699528,1.5751768,0.587081229,1.580667029,3.036327731,0.720040918,0.187449067,0.127733551,0.889284664,1014333.33333333,72.6666666666667
"1858","MIRO",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,1,5,7,2,2,1.3138232,103.8426327,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.45849732,0.36640283,0.563636822,0.840288839,0.400396204,4.394436399,0.401803326,0.587780863,0.202040752,1.523841422,0.518135892,0.170292901,0.414769899,0.504654997,2.943642085,0.972028238,1.435909509,2.162446652,0.415144867,0.415144867,0.21873384,2.071511624,2350000,116
"1859","MOULMEIN COURT",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6,6,23,0,2,1.3191954,103.8500879,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.915199999,0.427506489,0.695685768,0.391407078,0.680562596,4.77830764,0.337075652,0.522559541,0.631433278,1.60387775,0.701310378,0.771789162,0.427465734,0.509741122,2.08415569,0.864269072,1.726717733,2.489193095,0.67799437,0.426866711,0.079572804,1.429283124,1500000,153
"1860","MULBERRY TREE",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,4.5,5.5,34,4,2,1.3184509,103.8466229,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.867210489,0.3874517,0.798362036,0.557259193,0.351425684,4.783276594,0.474625353,0.327117562,0.367208992,1.751588953,0.356645923,0.40016062,0.609842792,0.122161611,2.28878113,0.751548023,1.410498225,2.474610088,0.351630353,0.351630353,0.037851573,1.487732607,805000,41.5
"1861","NEWTON 18",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,8,7,20.3333333333333,12,2,1.3146826,103.841239,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.596011934,0.230760969,0.543467166,0.98781467,0.384506972,4.53408256,0.34357637,0.769164093,0.078475059,1.593713588,0.379281315,0.33337762,0.481770609,0.580295537,2.93610635,0.791045727,1.273451664,2.323485365,0.401625087,0.401625087,0.054200581,2.02822136,1295000,66.6666666666667
"1862","NEWTON 21",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,3,5,6,10,2,1.3147161,103.840685,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.619484431,0.231943533,0.520386721,1.049400237,0.423601623,4.558273617,0.314402247,0.821941506,0.070402253,1.59220963,0.32210829,0.38033967,0.420894718,0.588808478,2.965163919,0.741344485,1.240672017,2.359564873,0.441423671,0.441423671,0.013563575,2.04699049,2540000,143
"1863","NEWTON LODGE",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,6,6,23,24,2,1.317556,103.841209,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.900731498,0.08886321,0.836624851,1.03546721,0.189441521,4.837229619,0.628425448,0.617559068,0.053240341,1.910787476,0.40343951,0.316386147,0.474854772,0.502206141,2.669740196,0.639635616,1.0071955,2.60175275,0.263258559,0.263258559,0.026679561,1.734144698,1780000,113
"1864","NOVELIS",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,3,5,23,6,2,1.3188705,103.8458998,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.925183981,0.320817159,0.887026321,0.647227517,0.258496594,4.84458439,0.567530503,0.270245879,0.320275641,1.731420367,0.263677286,0.377971082,0.622694274,0.11675104,2.280031824,0.685157701,1.317541277,2.540728895,0.25868663,0.25868663,0.065389782,1.449376832,1360000,75
"1865","NOVENA COURT",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,5,6,1,0,2,1.3224765,103.8421795,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,4.3990942055,0.145742637,1.390914598,0.839046119,0.295900751,5.3297901005,1.1371345905,0.2486160565,0.5032730445,1.576976469,0.326855,0.0760151685,0.146962832,0.446951021,2.1702259635,0.374647108,0.7758416405,3.053133588,0.294474993,0.294474993,0.1057633115,1.1981361585,1170000,79.5
"1866","SUFFOLK PREMIER",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,8.5,7.5,4.5,7,2,1.314389,103.844664,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.462469477,0.254378583,0.761145799,0.608621224,0.353077385,4.391567911,0.633515846,0.483460559,0.067149248,1.645922986,0.634963654,0.215617182,0.559891832,0.399749027,2.789058199,1.129602429,1.523917373,2.118017158,0.360126795,0.360126795,0.226978085,1.961440871,1400000,103.5
"1867","SUITES @ SURREY",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,12,8,67,6,2,1.316066,103.8418899,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.72056886,0.114683239,0.712987119,0.925096731,0.224650858,4.656625049,0.511198409,0.727082701,0.224645901,1.754782311,0.492917061,0.218499489,0.58730574,0.468559309,2.767282798,0.770054228,1.184434541,2.420250446,0.241724694,0.241724694,0.105272578,1.859194206,1230000,83
"1868","TEN @ SUFFOLK",2014,"Apartment","Central Region","Watten Estate ",0,0,0,0,0,0,0,0,12,8,12,8,2,1.314432,103.844255,0.04799,0.152948531,0.367784955,0.351351351,0.393371474,0.183270862,0.347380541,3.477330562,0.285569687,0.745655417,0.653633809,0.333877437,4.40793282,0.593768055,0.51168956,0.048532718,1.635914872,0.625280086,0.196173702,0.540722686,0.4109426,2.803480895,1.087218542,1.490392389,2.140798516,0.342763694,0.342763694,0.230970331,1.964758556,1549000,101
